case_id,phase5c_status,phase5c_forensic_classification,phase5d_status,status_changed,change_expected,old_failure_stage,new_failure_stage,old_configuration,new_configuration,old_mtow,new_mtow,old_wingspan,new_wingspan,old_aspect_ratio,new_aspect_ratio,old_motor,new_motor,old_propeller,new_propeller,old_cg_percent_mac,new_cg_percent_mac,old_static_margin,new_static_margin,battery_position_valid,final_engineering_assessment
FW-001,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,PERFORMANCE_INFEASIBLE,NO,YES,Performance Check,PERFORMANCE_INFEASIBLE,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,2.801,2.648,1.176,0.994,10.5,7.5,None,SunnySky X2216,None,11x7 APC,N/A,12.07,17.9,29.7,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-002,SIZING_INFEASIBLE,wing/fuselage coordination rejection,SIZING_INFEASIBLE,NO,YES,None,SIZING_INFEASIBLE,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,1.335,1.055,16.0,10.0,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-003,CONFIGURATION_INFEASIBLE,configuration false rejection,PERFORMANCE_INFEASIBLE,YES,YES,Configuration Sizing,PERFORMANCE_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,High Wing / Pusher,N/A,2.461,N/A,0.838,N/A,4.5,None,SunnySky X2216,None,11x7 APC,N/A,9.94,N/A,31.9,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-004,CONFIGURATION_INFEASIBLE,configuration false rejection,SUCCESS,YES,YES,Configuration Sizing,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,4.154,N/A,1.912,N/A,12.0,None,SunnySky X2216,None,16x8 APC,N/A,23.89,N/A,17.8,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-005,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,PERFORMANCE_INFEASIBLE,NO,YES,Performance Check,PERFORMANCE_INFEASIBLE,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,3.32,3.169,1.317,1.113,10.5,7.5,None,SunnySky X2216,None,12x6 APC,N/A,21.12,18.1,21.2,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-006,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,PERFORMANCE_INFEASIBLE,NO,YES,Performance Check,PERFORMANCE_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing / Tractor,2.213,2.041,0.914,0.708,7.5,4.5,None,SunnySky X2216,None,11x7 APC,N/A,-11.63,38.4,53.9,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-007,SUCCESS,successful valid,SUCCESS,NO,YES,None,None,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,5.1,5.089,1.983,1.979,10.5,10.5,None,T-Motor MN5008,None,20x10 APC,N/A,24.6,18.0,17.4,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-008,SUCCESS,successful suspicious,STABILITY_INFEASIBLE,YES,YES,None,STABILITY_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing / Tractor,3.522,3.38,1.391,1.365,7.5,7.5,None,SunnySky X2216,None,16x8 APC,N/A,14.01,18.1,28.0,YES,STABILITY_INFEASIBLE: Battery placement correctly restricted to cabin bay; resulting static margin is unstable.
FW-009,SUCCESS,successful suspicious,STABILITY_INFEASIBLE,YES,YES,None,STABILITY_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing / Tractor,3.225,3.224,1.333,1.333,7.5,7.5,None,SunnySky X2216,None,15x10 APC,N/A,11.59,17.9,30.2,YES,STABILITY_INFEASIBLE: Battery placement correctly restricted to cabin bay; resulting static margin is unstable.
FW-010,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.081,0.914,10.5,7.5,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
