case_id,original_status,baseline_classification,exact_failure_message
FW-001,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,"Flight performance validation error at iteration 1: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (72.7 kmh, representing a 20.0% safety margin above clean stall)."
FW-002,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-003,CONFIGURATION_INFEASIBLE,configuration false rejection,"Configuration selection failed: Low Wing configuration is incompatible with Belly Landing. Wings will strike the ground, causing structural damage. Select High or Parasol Wing."
FW-004,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-005,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,"Flight performance validation error at iteration 1: Cruise speed (61.4 kmh) is below the minimum safe cruise speed boundary (70.6 kmh, representing a 20.0% safety margin above clean stall)."
FW-006,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,"Flight performance validation error at iteration 1: Cruise speed (70.7 kmh) is below the minimum safe cruise speed boundary (75.0 kmh, representing a 30.0% safety margin above clean stall)."
FW-007,SUCCESS,successful valid,
FW-008,SUCCESS,successful suspicious,
FW-009,SUCCESS,successful suspicious,
FW-010,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.40 kg."
FW-011,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.26 kg."
FW-012,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-013,SUCCESS,successful valid,
FW-014,CONFIGURATION_INFEASIBLE,configuration false rejection,"Configuration selection failed: Low Wing configuration is incompatible with Belly Landing. Wings will strike the ground, causing structural damage. Select High or Parasol Wing."
FW-015,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.27 kg."
FW-016,SUCCESS,successful valid,
FW-017,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,"Flight performance validation error at iteration 1: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (74.6 kmh, representing a 30.0% safety margin above clean stall)."
FW-018,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,"Flight performance validation error at iteration 1: Cruise speed (60.9 kmh) is below the minimum safe cruise speed boundary (69.2 kmh, representing a 30.0% safety margin above clean stall)."
FW-019,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,"Flight performance validation error at iteration 1: Cruise speed (77.3 kmh) is below the minimum safe cruise speed boundary (79.8 kmh, representing a 20.0% safety margin above clean stall)."
FW-020,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.50 kg."
FW-021,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.45 kg."
FW-022,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (88.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-023,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-024,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.25 m) exceeds wing root chord (0.22 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-025,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.16 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-026,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.17 m) exceeds wing root chord (0.15 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-027,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-028,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (97.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-029,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.78 kg."
FW-030,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-031,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-032,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.19 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-033,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 8: Calculated takeoff weight (25.63 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-034,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.20 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-035,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-036,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.20 m) exceeds wing root chord (0.18 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-037,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-038,COMPONENT_DATABASE_LIMITATION,catalog limitation,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.64 kg."
FW-039,INVALID_REQUIREMENTS,true physical/mission infeasibility,Mission processing failed: Mission range (118.5 km) is physically inconsistent with cruise speed (93.9 km/h) and flight time (50.2 min). Max theoretical range is 78.6 km.
FW-040,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-041,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-042,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-043,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (100.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-044,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.27 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-045,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 10: Calculated takeoff weight (25.34 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-046,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.33 m) exceeds wing root chord (0.29 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-047,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
