case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-001,MAPPING,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (75.2 kmh, representing a 20.0% safety margin above clean stall).",0.71,11.0,39.3,66.7,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,3.001,0.71,0.291,0.097,1.603,0.137,0.26,2.0,1.001,58.2,200.0,0.85,0.1318,1.1764,10.5,0.1494,0.0747,0.1162,0.5,0.0,3.0,13.467,Clark Y,1.22,0.882,0.132,0.162,6.68,0.0108,0.22,0.0088,0.133,0.71,SunnySky X2216,9x6 APC,,1,1.36,16.88,47.2,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,0.339,24.1,,,17.9,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-002,INSPECTION,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,0.27,19.3,62.1,76.8,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.1114,1.3349,16.0,0.1062,0.0,0.0708,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-003,AGRICULTURE,CONFIGURATION_INFEASIBLE,N/A,"Configuration selection failed: Low Wing configuration is incompatible with Belly Landing. Wings will strike the ground, causing structural damage. Select High or Parasol Wing.",0.84,37.9,43.8,64.7,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-004,INSPECTION,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,0.68,42.3,71.1,76.1,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-005,SURVEY,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (61.4 kmh) is below the minimum safe cruise speed boundary (74.5 kmh, representing a 20.0% safety margin above clean stall).",0.89,33.1,69.3,61.4,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,3.699,0.89,0.562,0.152,1.85,0.137,0.26,2.247,1.452,112.4,200.0,0.85,0.1652,1.3171,10.5,0.1672,0.0836,0.1301,0.5,0.0,3.0,13.467,Clark Y,1.222,0.988,0.148,0.181,6.68,0.0136,0.247,0.011,0.148,0.79,SunnySky X2216,9x6 APC,,1,1.7,16.88,54.4,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,0.38,24.21,,,18.1,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-006,AGRICULTURE,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (70.7 kmh) is below the minimum safe cruise speed boundary (78.5 kmh, representing a 30.0% safety margin above clean stall).",0.56,43.4,31.4,70.7,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.422,0.56,0.185,0.076,1.28,0.137,0.26,1.677,0.745,37.0,200.0,0.85,0.1114,0.914,7.5,0.1219,0.1219,0.1219,1.0,0.0,5.0,13.467,NACA 4412,1.255,0.685,0.112,0.137,6.12,0.0124,0.236,0.0074,0.122,0.55,SunnySky X2216,9x6 APC,,1,1.28,16.88,47.2,380,0.533,Matek H743-WING,Single GNSS,Microhard PMDDL2450,,,0.233,-13.54,,,55.4,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-007,SURVEY,SUCCESS,Verified,,0.78,16.5,46.6,89.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,1.95,5.751,0.78,1.053,0.183,3.453,0.205,0.26,3.918,1.833,210.6,200.0,0.85,0.4223,2.1057,10.5,0.2674,0.1337,0.208,0.5,0.0,3.0,13.467,Clark Y,1.322,1.579,0.237,0.29,6.66,0.0348,0.396,0.0282,0.237,1.26,T-Motor MN5008,10x7 APC,,1,4.32,27.22,202.1,700,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,0.607,24.04,0.644,41.83,18.0,46.6,89.7,153.5,5.46,43.04,8.0,69.68,46.61,12.87,11,0.00844,True,Compliant,Compliant,Compliant,Compliant,Failed,0,0,NORMAL,
FW-008,AGRICULTURE,SUCCESS,Verified,,0.45,20.7,34.8,88.3,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,1.5,3.763,0.45,0.506,0.135,2.342,0.205,0.26,2.807,0.956,101.2,200.0,0.85,0.2768,1.441,7.5,0.1921,0.1921,0.1921,1.0,0.0,5.0,13.467,NACA 4412,1.318,1.081,0.177,0.216,6.11,0.0307,0.372,0.0184,0.192,0.86,SunnySky X2820,10x7 APC,,1,2.98,24.56,137.1,600,0.533,Matek H743-WING,Single GNSS,RFDesign RFD900ux,,,0.44,23.95,0.475,42.17,18.1,46.6,88.3,153.8,7.45,31.58,8.02,51.17,34.77,12.25,11,0.006974,True,Compliant,Compliant,Compliant,Compliant,Failed,0,0,REVIEW,Calculated endurance (34.8 min) < Required (34.8 min)
FW-009,AGRICULTURE,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (76.8 kmh) is below the minimum safe cruise speed boundary (79.2 kmh, representing a 30.0% safety margin above clean stall).",0.57,20.6,37.3,76.8,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.476,0.57,0.229,0.092,1.28,0.137,0.26,1.677,0.799,45.8,200.0,0.85,0.1114,0.914,7.5,0.1219,0.1219,0.1219,1.0,0.0,5.0,13.467,NACA 4412,1.261,0.685,0.112,0.137,6.12,0.0124,0.236,0.0074,0.122,0.55,SunnySky X2216,9x6 APC,,1,1.28,16.88,51.3,380,0.533,Matek H743-WING,Single GNSS,RFDesign RFD900ux,,,0.237,-10.25,,,52.4,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-010,MAPPING,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (0.51 kg) exceeds maximum structural payload weight constraint (0.40 kg).,0.38,49.9,55.7,62.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,1.0814,10.5,0.1373,0.0687,0.1068,0.5,0.0,3.0,13.467,Clark Y,1.21,0.811,0.122,0.149,6.65,0.0092,0.203,0.0074,0.122,0.65,SunnySky X2216,9x6 APC,,1,1.15,16.88,37.5,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
