case_id,case_category,mission_type,payload_kg,range_km,endurance_min,cruise_speed_kmh,hover_required,vtol_required,runway_available,confined_operation,environment,expected_family,old_raw_output,old_normalized_family,new_status,new_selected_family,MULTIROTOR_score,FIXED_WING_score,VTOL_score,eligible_families,eliminated_families,confidence,reasoning,automatic_result,MANUAL_REVIEW,MANUAL_EXPECTED_FAMILY,MANUAL_PASS_FAIL,REVIEWER_COMMENT
CASE_MR_001,DETERMINISTIC,INSPECTION,0.1,1.0,10.0,40.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_002,DETERMINISTIC,SECURITY,0.25,1.0,10.0,41.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_003,DETERMINISTIC,DISASTER_RESPONSE,0.5,2.0,10.0,42.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_004,DETERMINISTIC,DELIVERY,1.0,2.0,15.0,43.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_005,DETERMINISTIC,RESEARCH,2.0,3.0,15.0,44.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_006,DETERMINISTIC,INSPECTION,3.0,3.0,15.0,45.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_007,DETERMINISTIC,SECURITY,5.0,5.0,20.0,46.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_008,DETERMINISTIC,DISASTER_RESPONSE,8.0,5.0,20.0,47.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_009,DETERMINISTIC,DELIVERY,12.0,8.0,20.0,48.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_010,DETERMINISTIC,RESEARCH,15.0,8.0,25.0,49.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
