case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,perf_cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-001,MAPPING,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (70.3 kmh, representing a 20.0% safety margin above clean stall).",0.71,11.0,39.3,66.7,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,2.648,0.51,0.312,0.118,1.429,0.137,0.26,1.826,0.822,62.4,200.0,0.85,0.1318,0.994,7.5,0.177,0.088,0.138,0.5,0.0,3.0,13.47,Clark Y,1.233,0.746,0.112,0.137,6.66,0.0152,0.262,0.0088,0.133,,SunnySky X2216,11x7 APC,Generic ESC,1,1.52,6.09,52.7,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.29,12.07,,,29.7,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-002,INSPECTION,SIZING_INFEASIBLE,N/A,Mass validation error at iteration 1: Longitudinal static stability margin (-10.4%) is below the minimum safe stability reserve (7.0%). Risk of loss of pitch control.,0.27,19.3,62.1,76.8,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.1114,1.055,10.0,0.134,0.0,0.09,0.0,0.0,2.5,13.47,MH 32,1.042,0.792,0.095,0.116,8.34,0.0071,0.198,0.0065,0.127,,SunnySky X2216,11x7 APC,Generic ESC,1,1.17,5.88,46.7,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-003,AGRICULTURE,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (64.7 kmh) is below the minimum safe cruise speed boundary (66.2 kmh, representing a 30.0% safety margin above clean stall).",0.84,37.9,43.8,64.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,2.461,0.35,0.343,0.14,1.371,0.137,0.26,1.768,0.693,68.6,200.0,0.85,0.1559,0.838,4.5,0.186,0.186,0.186,1.0,0.0,5.0,13.47,NACA 4412,1.281,0.628,0.103,0.126,6.1,0.0288,0.36,0.0104,0.144,,SunnySky X2216,11x7 APC,Generic ESC,1,2.03,10.3,68.6,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.266,9.94,,,31.9,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-004,INSPECTION,SUCCESS,VERIFIED,,0.68,42.3,71.1,76.1,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,1.7,4.154,0.15,0.744,0.179,2.863,0.137,0.26,3.26,0.894,148.8,200.0,0.85,0.3045,1.912,12.0,0.203,0.0,0.135,0.0,0.0,2.5,13.47,Clark Y,1.26,1.434,0.172,0.21,8.34,0.0162,0.298,0.0178,0.211,,SunnySky X2216,16x8 APC,Generic ESC,1,2.51,16.09,99.4,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.542,23.89,0.566,41.64,17.8,47.7,76.1,132.1,4.02,35.69,8.31,90.17,71.09,16.02,11,0.009606,True,Compliant,Compliant,Compliant,Compliant,Compliant,2,0,NORMAL,
FW-005,SURVEY,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (61.4 kmh) is below the minimum safe cruise speed boundary (68.6 kmh, representing a 20.0% safety margin above clean stall).",0.89,33.1,69.3,61.4,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,3.169,0.51,0.606,0.191,1.656,0.137,0.26,2.053,1.116,121.2,200.0,0.85,0.1652,1.113,7.5,0.198,0.099,0.154,0.5,0.0,3.0,13.47,Clark Y,1.236,0.835,0.125,0.153,6.68,0.019,0.292,0.011,0.148,,SunnySky X2216,12x6 APC,Generic ESC,1,1.9,10.91,60.8,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.338,21.12,,,21.2,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-006,AGRICULTURE,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (70.7 kmh) is below the minimum safe cruise speed boundary (71.5 kmh, representing a 30.0% safety margin above clean stall).",0.56,43.4,31.4,70.7,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.041,0.35,0.204,0.1,1.09,0.137,0.26,1.487,0.554,40.8,200.0,0.85,0.1114,0.708,4.5,0.157,0.157,0.157,1.0,0.0,5.0,13.47,NACA 4412,1.274,0.531,0.093,0.106,5.71,0.0206,0.304,0.0074,0.122,,SunnySky X2216,11x7 APC,Generic ESC,1,1.45,5.15,53.5,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.191,-11.63,,,53.9,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-007,SURVEY,SUCCESS,VERIFIED,,0.78,16.5,46.6,89.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,1.95,5.089,0.51,0.944,0.186,3.17,0.205,0.26,3.635,1.454,188.8,200.0,0.85,0.373,1.979,10.5,0.251,0.126,0.196,0.5,0.0,3.0,13.47,Clark Y,1.312,1.484,0.223,0.272,6.65,0.0307,0.372,0.0249,0.223,,T-Motor MN5008,20x10 APC,Generic ESC,1,3.81,17.24,178.3,700,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.572,24.6,0.606,41.99,17.4,46.8,89.7,160.0,6.32,24.15,8.05,69.66,46.59,12.88,11,0.009713,True,Compliant,Compliant,Compliant,Compliant,Compliant,1,0,NORMAL,
FW-008,AGRICULTURE,STABILITY_INFEASIBLE,FAILED,Aircraft design failed verification compliance checks.,0.45,20.7,34.8,88.3,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,1.5,3.38,0.35,0.458,0.136,2.175,0.137,0.26,2.572,0.808,91.6,200.0,0.85,0.2485,1.365,7.5,0.182,0.182,0.182,1.0,0.0,5.0,13.47,NACA 4412,1.311,1.024,0.168,0.205,6.1,0.0276,0.352,0.0166,0.182,,SunnySky X2216,16x8 APC,Generic ESC,1,2.67,16.41,123.0,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.399,14.01,0.45,42.03,28.0,46.7,88.3,132.1,4.89,28.36,8.06,51.17,34.77,12.25,10,0.00741,True,Compliant,Compliant,Failed,Compliant,Compliant,1,0,HIGH,
FW-009,AGRICULTURE,STABILITY_INFEASIBLE,FAILED,Aircraft design failed verification compliance checks.,0.57,20.6,37.3,76.8,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,1.5,3.224,0.35,0.373,0.116,2.104,0.137,0.26,2.501,0.723,74.6,200.0,0.85,0.2368,1.333,7.5,0.178,0.178,0.178,1.0,0.0,5.0,13.47,NACA 4412,1.293,0.999,0.164,0.2,6.09,0.0263,0.344,0.0158,0.178,,SunnySky X2216,15x10 APC,Generic ESC,1,2.26,10.95,90.6,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.385,11.59,0.439,41.98,30.2,47.1,76.8,132.1,5.32,28.38,8.15,47.77,37.32,13.8,9,0.008247,True,Compliant,Compliant,Failed,Compliant,Compliant,1,0,HIGH,
FW-010,MAPPING,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.40 kg.",0.38,49.9,55.7,62.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,0.914,7.5,0.163,0.081,0.126,0.5,0.0,3.0,13.47,Clark Y,1.222,0.685,0.103,0.126,6.65,0.0128,0.24,0.0074,0.122,,SunnySky X2216,11x7 APC,Generic ESC,1,1.28,7.35,41.9,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
