Case ID,Mission,Payload,Range,Endurance,Cruise Speed,Takeoff,Landing,Environment,Pipeline Status,Final Status,Failed Stage,Failure Category,Failure Reason,Iterations,Converged,Verification Status,Final MTOW,Wing Area,Wing Span,Aspect Ratio,Root Chord,Tip Chord,Taper Ratio,Selected Configuration,Selected Motor,Selected Propeller,Battery,Static Margin,Performance Status,Warnings,Execution Time
1,DISASTER_RESPONSE,2.1,60.0,32.6,160.6,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,0,False,N/A,5.418,0.3898,2.0232,10.5,0.2569,0.1285,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,1.176 kg,0.332,SATISFIED,,4631.5588
2,INSPECTION,2.69,20.6,37.0,136.9,RUNWAY,BELLY_LANDING,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.25 m) exceeds wing root chord (0.22 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.4994,2.8266,16.0,0.2249,0.0,0.0,High Wing / Twin Boom,,,,,,,6.4485
3,MILITARY,0.41,68.3,101.4,76.0,HAND_LAUNCH,BELLY_LANDING,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1114,1.3349,16.0,0.1062,0.0,0.0,High Wing / Twin Boom,,,,,,,4.2869
4,AGRICULTURE,0.5,63.8,220.4,53.1,CATAPULT,BELLY_LANDING,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Cruise speed (53.1 kmh) is below the minimum safe cruise speed boundary (90.1 kmh, representing a 30.0% safety margin above clean stall).",0,False,N/A,3.148,0.1114,0.914,7.5,0.1219,0.1219,1.0,High Wing / Conventional,SunnySky X2216,11x7 APC,1.120 kg,0.47,,,5.2878
5,INSPECTION,1.05,269.9,158.6,108.1,HAND_LAUNCH,NET_RECOVERY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.16 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1949,1.766,16.0,0.1405,0.0,0.0,High Wing / Twin Boom,,,,,,,4.2175
6,SURVEY,1.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Budget must be positive (got -500.0),0,False,N/A,,,,,,,,,,,,,,,0.4818
7,DISASTER_RESPONSE,2.0,30.0,510.7,85.0,RUNWAY,RUNWAY,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Rate of climb (1.17 m/s) is below the minimum required rate of climb constraint (1.50 m/s).; Cruise speed (85.0 kmh) is below the minimum safe cruise speed boundary (93.8 kmh, representing a 20.0% safety margin above clean stall).",0,False,N/A,14.037,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,9.901 kg,0.178,,,4.6632
8,INSPECTION,0.83,25.6,33.3,173.3,RUNWAY,BELLY_LANDING,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.14 m) exceeds wing root chord (0.12 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1541,1.5701,16.0,0.125,0.0,0.0,High Wing / Twin Boom,,,,,,,3.9974
9,SURVEY,1.0,-5.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range must be positive (got -5.0 km),0,False,N/A,,,,,,,,,,,,,,,0.2499
10,RESEARCH,12.8,69.6,182.2,97.1,RUNWAY,RUNWAY,RURAL,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,MASS_SIZING,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (38.78 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,0,False,N/A,,2.3761,4.7511,9.5,0.6668,0.3334,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,,,,,4.3685
