case_id,mission_category,payload_kg,range_km,endurance_min,cruise_speed_kmh,final_status,failure_category,exact_failure_message,stage_failed,engine_failed,validator_failed,last_successful_stage,configuration_selected,wing_position,propulsion_layout,tail_configuration,landing_gear,mtow_at_failure_kg,wing_area_at_failure_m2,wingspan_at_failure_m,aspect_ratio_at_failure,airfoil_at_failure,required_thrust_n,available_thrust_n,required_power_w,available_power_w,required_range_km,available_communication_range_km,required_stall_margin,actual_stall_margin,static_margin_percent,convergence_delta,forensic_classification,forensic_confidence,root_cause,recommended_action
FW-001,MAPPING,0.71,11.0,39.3,66.7,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (72.7 kmh, representing a 20.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,2.801,0.1318,1.176,10.5,Clark Y,6.09,20.45,157.2,380,11.0,50.0,,,68.2,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (72.7 kmh, representing a 20.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-002,INSPECTION,0.27,19.3,62.1,76.8,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.1114,1.335,16.0,Clark Y,,,,,19.3,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-003,AGRICULTURE,0.84,37.9,43.8,64.7,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (64.7 kmh) is below the minimum safe cruise speed boundary (69.3 kmh, representing a 30.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,High-Wing Rear Pusher (Survey / Glider),High Wing,Pusher,Conventional,Belly Landing,2.649,0.1559,1.081,7.5,NACA 4412,10.29,20.45,192.0,380,37.9,40.0,,,51.2,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (64.7 kmh) is below the minimum safe cruise speed boundary (69.3 kmh, representing a 30.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-004,INSPECTION,0.68,42.3,71.1,76.1,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.13 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.1262,1.421,16.0,Clark Y,,,,,42.3,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-005,SURVEY,0.89,33.1,69.3,61.4,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (61.4 kmh) is below the minimum safe cruise speed boundary (70.6 kmh, representing a 20.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,3.32,0.1652,1.317,10.5,Clark Y,10.91,22.67,197.1,380,33.1,50.0,,,58.1,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (61.4 kmh) is below the minimum safe cruise speed boundary (70.6 kmh, representing a 20.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-006,AGRICULTURE,0.56,43.4,31.4,70.7,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (70.7 kmh) is below the minimum safe cruise speed boundary (75.0 kmh, representing a 30.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing,Tractor,Conventional,Taildragger,2.213,0.1114,0.914,7.5,NACA 4412,5.15,19.3,137.2,380,43.4,50.0,,,48.6,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (70.7 kmh) is below the minimum safe cruise speed boundary (75.0 kmh, representing a 30.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-007,SURVEY,0.78,16.5,46.6,89.7,NON_CONVERGED,NON_CONVERGED,Oscillation detected: design state at iteration 7 matches state at iteration 5.; Convergence failed: Oscillation detected: design state at iteration 7 matches state at iteration 5.,None,None,None,None,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,3.057,0.1448,1.233,10.5,Clark Y,6.69,21.57,172.8,380,16.5,50.0,1.2,1.505,62.5,0.00028,SELECTOR_COORDINATION_PROBLEM,High,Convergence loop oscillated between two different design configurations or sizing parameters.,Implement relaxation factors or damping on iteration updates to stabilize the convergence path.
FW-008,AGRICULTURE,0.45,20.7,34.8,88.3,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.,None,None,None,None,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing,Tractor,Conventional,Taildragger,2.268,0.1114,0.914,7.5,NACA 4412,7.36,19.3,137.2,380,20.7,40.0,1.3,1.52,46.7,,SELECTOR_COORDINATION_PROBLEM,High,Fuselage optimizer failed to converge to a feasible volume and structural layout within convergence limits.,Review fuselage structural thickness and volume constraints or coordinate Aspect Ratio limits.
FW-009,AGRICULTURE,0.57,20.6,37.3,76.8,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.,None,None,None,None,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing,Tractor,Conventional,Taildragger,2.257,0.1114,0.914,7.5,NACA 4412,5.15,19.3,137.2,380,20.6,40.0,1.3,1.322,47.1,,SELECTOR_COORDINATION_PROBLEM,High,Fuselage optimizer failed to converge to a feasible volume and structural layout within convergence limits.,Review fuselage structural thickness and volume constraints or coordinate Aspect Ratio limits.
FW-010,MAPPING,0.38,49.9,55.7,62.7,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.40 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,0.1114,1.081,10.5,Clark Y,,,,,49.9,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.40 kg..",Update component database records with missing classes.
FW-011,MAPPING,0.25,25.3,89.7,75.9,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.26 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,,0.1114,1.081,10.5,Clark Y,,,,,25.3,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.26 kg..",Update component database records with missing classes.
FW-012,INSPECTION,0.41,35.6,27.8,73.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.1114,1.335,16.0,Clark Y,,,,,35.6,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
