Case ID,Mission Type,Payload Weight (kg),Range (km),Endurance (min),Cruise Speed (km/h),Takeoff Type,Landing Type,Operating Environment,Budget,Selected Vehicle Family,Selection Success,Selection Score,Primary Candidate,Alternative Candidate 1,Alternative Candidate 1 Score,Alternative Candidate 2,Alternative Candidate 2 Score,Candidate Ranking,Selection Reason,Status,Failure Category,Failure Reason,Warnings
1,DISASTER_RESPONSE,3.7,37.8,103.5,109.3,CATAPULT,BELLY_LANDING,FOREST,70303.64,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 3.7 kg payload, 37.8 km range, and CATAPULT takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
2,MILITARY,7.51,60.0,50.6,97.9,VERTICAL,VERTICAL,MARINE,33993.78,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MILITARY mission because it optimally satisfies the 7.51 kg payload, 60.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
3,MILITARY,7.12,130.4,95.8,95.3,VERTICAL,VERTICAL,MOUNTAIN,48206.62,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MILITARY mission because it optimally satisfies the 7.12 kg payload, 130.4 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
4,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
5,SURVEY,0.73,2.1,24.9,38.1,VERTICAL,VERTICAL,INDOOR,61668.55,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the SURVEY mission because it optimally satisfies the 0.73 kg payload, 2.1 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
6,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
7,DELIVERY,3.05,92.2,68.4,105.8,VERTICAL,VERTICAL,RURAL,33096.15,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the DELIVERY mission because it optimally satisfies the 3.05 kg payload, 92.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
8,TRAINING,1.38,94.5,76.7,67.8,HAND_LAUNCH,PARACHUTE,DESERT,79043.73,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 1.38 kg payload, 94.5 km range, and HAND_LAUNCH takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
9,MILITARY,5.58,123.9,116.6,90.3,VERTICAL,VERTICAL,MARINE,69908.44,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MILITARY mission because it optimally satisfies the 5.58 kg payload, 123.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
10,SECURITY,8.18,29.8,48.7,87.3,RUNWAY,RUNWAY,MOUNTAIN,72509.3,FIXED_WING,True,0.85,FIXED_WING,VTOL,0.8,MULTIROTOR,0.3,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 0.85, Rating: EXCELLENT). This category is recommended for the SECURITY mission because it optimally satisfies the 8.18 kg payload, 29.8 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
11,TRAINING,3.3,11.0,15.9,41.4,VERTICAL,VERTICAL,URBAN,21731.74,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the TRAINING mission because it optimally satisfies the 3.3 kg payload, 11.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
12,RESEARCH,4.78,35.6,97.5,88.7,CATAPULT,NET_RECOVERY,RURAL,22324.88,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the RESEARCH mission because it optimally satisfies the 4.78 kg payload, 35.6 km range, and CATAPULT takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
13,SURVEY,3.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,-100.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,
14,CUSTOM,0.67,1.7,9.2,33.5,VERTICAL,VERTICAL,INDOOR,61455.19,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the CUSTOM mission because it optimally satisfies the 0.67 kg payload, 1.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
15,SURVEY,2.0,20.0,30.0,350.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,
16,SECURITY,0.52,4.1,8.7,38.7,VERTICAL,VERTICAL,INDOOR,61892.41,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the SECURITY mission because it optimally satisfies the 0.52 kg payload, 4.1 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
17,DELIVERY,1.98,10.4,22.4,46.4,VERTICAL,VERTICAL,URBAN,43038.95,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DELIVERY mission because it optimally satisfies the 1.98 kg payload, 10.4 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
