case_id,original_status,forensic_classification,confidence,physically_infeasible_yes_no_unknown,selector_false_rejection_yes_no_unknown,catalog_limited_yes_no,successful_design_valid_yes_no_unknown,primary_reason,recommended_future_action
FW-001,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (72.7 kmh, representing a 20.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-002,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-003,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (64.7 kmh) is below the minimum safe cruise speed boundary (69.3 kmh, representing a 30.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-004,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.13 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-005,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (61.4 kmh) is below the minimum safe cruise speed boundary (70.6 kmh, representing a 20.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-006,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (70.7 kmh) is below the minimum safe cruise speed boundary (75.0 kmh, representing a 30.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-007,NON_CONVERGED,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,Oscillation detected: design state at iteration 7 matches state at iteration 5.; Convergence failed: Oscillation detected: design state at iteration 7 matches state at iteration 5.,Implement relaxation factors or damping on iteration updates to stabilize the convergence path.
FW-008,NON_CONVERGED,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.,Review fuselage structural thickness and volume constraints or coordinate Aspect Ratio limits.
FW-009,NON_CONVERGED,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.,Review fuselage structural thickness and volume constraints or coordinate Aspect Ratio limits.
FW-010,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.40 kg.",Update component database records with missing classes.
FW-011,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.26 kg.",Update component database records with missing classes.
FW-012,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-013,NON_CONVERGED,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,Oscillation detected: design state at iteration 7 matches state at iteration 5.; Convergence failed: Oscillation detected: design state at iteration 7 matches state at iteration 5.,Implement relaxation factors or damping on iteration updates to stabilize the convergence path.
FW-014,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (60.6 kmh) is below the minimum safe cruise speed boundary (75.1 kmh, representing a 30.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-015,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.27 kg.",Update component database records with missing classes.
FW-016,SUCCESS,SUCCESS_SUSPICIOUS,High,UNKNOWN,UNKNOWN,NO,NO,None,Modify fuselage bay allocation logic to check volumetric fit and restrict battery CG movement during sizing.
FW-017,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (74.6 kmh, representing a 30.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-018,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (60.9 kmh) is below the minimum safe cruise speed boundary (69.2 kmh, representing a 30.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-019,PERFORMANCE_INFEASIBLE,TRUE_PERFORMANCE_INFEASIBILITY,High,YES,UNKNOWN,NO,UNKNOWN,"Cruise speed (77.3 kmh) is below the minimum safe cruise speed boundary (79.8 kmh, representing a 20.0% safety margin above clean stall).",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-020,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.50 kg.",Update component database records with missing classes.
FW-021,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.45 kg.",Update component database records with missing classes.
FW-022,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (88.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-023,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.21 m) exceeds wing root chord (0.18 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
