CASE_ID,CASE_CATEGORY,MISSION_TYPE,PAYLOAD_KG,RANGE_KM,ENDURANCE_MIN,CRUISE_SPEED_KMH,HOVER_REQUIRED,VTOL_REQUIRED,RUNWAY_AVAILABLE,CONFINED_OPERATION,ENVIRONMENT,OPTIMIZATION_PRIORITY,EXPECTED_FAMILY,RAW_SELECTOR_OUTPUT,NORMALIZED_FAMILY_OUTPUT,SELECTED_SCORE,CONFIDENCE,ALTERNATIVE_CANDIDATES,REASONING_PROS,PENALTIES_CONS,VALIDATION_RESULT,FINAL_TEST_CLASSIFICATION,MANUAL_REVIEW,MANUAL_EXPECTED_FAMILY,MANUAL_PASS_FAIL,REVIEWER_COMMENT
CASE_MR_001,DETERMINISTIC,INSPECTION,0.1,1.0,10.0,40.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_002,DETERMINISTIC,SECURITY,0.25,1.0,10.0,41.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_003,DETERMINISTIC,DISASTER_RESPONSE,0.5,2.0,10.0,42.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_004,DETERMINISTIC,DELIVERY,1.0,2.0,15.0,43.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_005,DETERMINISTIC,RESEARCH,2.0,3.0,15.0,44.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_006,DETERMINISTIC,INSPECTION,3.0,3.0,15.0,45.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_007,DETERMINISTIC,SECURITY,5.0,5.0,20.0,46.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_008,DETERMINISTIC,DISASTER_RESPONSE,8.0,5.0,20.0,47.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,OCTOCOPTER:0.6; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_009,DETERMINISTIC,DELIVERY,12.0,8.0,20.0,48.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_010,DETERMINISTIC,RESEARCH,15.0,8.0,25.0,49.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_011,DETERMINISTIC,INSPECTION,0.1,10.0,25.0,50.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_012,DETERMINISTIC,SECURITY,0.25,10.0,25.0,51.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_013,DETERMINISTIC,DISASTER_RESPONSE,0.5,12.0,30.0,52.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_014,DETERMINISTIC,DELIVERY,1.0,12.0,30.0,53.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_015,DETERMINISTIC,RESEARCH,2.0,14.0,30.0,54.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_016,DETERMINISTIC,INSPECTION,3.0,14.0,35.0,55.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_017,DETERMINISTIC,SECURITY,5.0,1.0,35.0,56.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
