case_id,mission_type,payload_kg,endurance_min,range_km,cruise_speed_kmh,environment,takeoff_type,landing_type,budget,input_valid,selection_success,selected_vehicle_family,selection_score,alternative_vehicle,warnings,failure_category,failure_reason,execution_time_ms
1,DISASTER_RESPONSE,3.7,103.5,37.8,109.3,FOREST,CATAPULT,BELLY_LANDING,70303.64,True,True,FIXED_WING,1.0,VTOL,,,,0.2532
2,MILITARY,7.51,50.6,60.0,97.9,MARINE,VERTICAL,VERTICAL,33993.78,True,True,VTOL,0.95,MULTIROTOR,,,,0.0922
3,MILITARY,7.12,95.8,130.4,95.3,MOUNTAIN,VERTICAL,VERTICAL,48206.62,True,True,VTOL,0.95,MULTIROTOR,,,,0.0826
4,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0481
5,SURVEY,0.73,24.9,2.1,38.1,INDOOR,VERTICAL,VERTICAL,61668.55,True,True,MULTIROTOR,0.8,None,,,,0.0766
6,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0397
7,DELIVERY,3.05,68.4,92.2,105.8,RURAL,VERTICAL,VERTICAL,33096.15,True,True,VTOL,0.95,MULTIROTOR,,,,0.0732
8,TRAINING,1.38,76.7,94.5,67.8,DESERT,HAND_LAUNCH,PARACHUTE,79043.73,True,True,FIXED_WING,1.0,VTOL,,,,0.0722
9,MILITARY,5.58,116.6,123.9,90.3,MARINE,VERTICAL,VERTICAL,69908.44,True,True,VTOL,0.95,MULTIROTOR,,,,0.071
10,SECURITY,8.18,48.7,29.8,87.3,MOUNTAIN,RUNWAY,RUNWAY,72509.3,True,True,FIXED_WING,0.85,VTOL,,,,0.0709
11,TRAINING,3.3,15.9,11.0,41.4,URBAN,VERTICAL,VERTICAL,21731.74,True,True,MULTIROTOR,0.8,VTOL,,,,0.0713
12,RESEARCH,4.78,97.5,35.6,88.7,RURAL,CATAPULT,NET_RECOVERY,22324.88,True,True,FIXED_WING,1.0,VTOL,,,,0.0688
13,SURVEY,3.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,-100.0,False,False,None,,None,,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,0.0129
14,CUSTOM,0.67,9.2,1.7,33.5,INDOOR,VERTICAL,VERTICAL,61455.19,True,True,MULTIROTOR,0.8,None,,,,0.07
15,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.0398
16,SECURITY,0.52,8.7,4.1,38.7,INDOOR,VERTICAL,VERTICAL,61892.41,True,True,MULTIROTOR,0.8,None,,,,0.063
17,DELIVERY,1.98,22.4,10.4,46.4,URBAN,VERTICAL,VERTICAL,43038.95,True,True,MULTIROTOR,0.8,VTOL,,,,0.0724
18,CUSTOM,4.24,75.3,101.3,119.4,RURAL,VERTICAL,VERTICAL,20595.83,True,True,VTOL,0.95,MULTIROTOR,,,,0.0698
19,TRAINING,2.53,49.0,90.7,105.3,RURAL,RUNWAY,RUNWAY,78642.05,True,True,FIXED_WING,1.0,VTOL,,,,0.0857
20,SECURITY,3.42,37.6,10.0,47.7,RURAL,VERTICAL,VERTICAL,20719.86,True,True,MULTIROTOR,0.8,VTOL,,,,0.0665
21,SURVEY,1.45,77.3,81.4,73.9,RURAL,HAND_LAUNCH,BELLY_LANDING,48848.73,True,True,FIXED_WING,1.0,VTOL,,,,0.0687
22,TRAINING,2.51,124.2,67.4,103.4,FOREST,RUNWAY,RUNWAY,8983.92,True,True,FIXED_WING,1.0,VTOL,,,,0.0673
23,INSPECTION,0.2,23.6,4.0,28.6,INDOOR,VERTICAL,VERTICAL,2983.33,True,True,MULTIROTOR,0.8,None,,,,0.0624
24,SURVEY,5.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Maximum takeoff weight limit (3.0 kg) must be greater than payload weight (5.0 kg).,0.0091
25,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0372
26,MILITARY,4.03,71.7,139.5,77.8,MARINE,VERTICAL,VERTICAL,39032.27,True,True,VTOL,0.95,MULTIROTOR,,,,0.0678
27,SURVEY,20.32,64.6,33.4,68.8,MOUNTAIN,RUNWAY,RUNWAY,5254.26,True,True,FIXED_WING,1.0,VTOL,,,,0.0677
28,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0391
29,TRAINING,2.57,28.4,2.2,30.4,RURAL,VERTICAL,VERTICAL,38330.63,True,True,MULTIROTOR,0.8,VTOL,,,,0.0702
30,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.041
31,SURVEY,11.14,60.3,77.8,67.0,RURAL,VERTICAL,RUNWAY,26591.41,True,True,VTOL,0.95,MULTIROTOR,,,,0.072
